node_id,parent_id,version_label,makespan,delta_makespan_vs_parent,delta_makespan_vs_root,score,status,best_bound,relative_gap,elapsed_seconds,branches,conflicts,changed_fields,candidate,spec_hash,parent_spec_hash
0,,node_0000,1782,,0,-1782.000240883506,feasible,,,240.88350945798447,,,"[""_raw""]",candidates/node_0000.py,1f8d552cfc619e8f,
1,0,node_0001,,,,,,,,300.1345770310145,,,"[""_raw""]",candidates/node_0001.py,3a018f6a101384ac,1f8d552cfc619e8f
2,0,node_0002,1802,20,20,-1802.0002773776105,feasible,,,277.3776109450264,,,"[""_raw""]",candidates/node_0002.py,099279d67dc18916,1f8d552cfc619e8f
3,0,node_0003,1766,-16,-16,-1766.0002780901452,feasible,,,278.0901480380562,,,"[""_raw""]",candidates/node_0003.py,2f84e1d8a8484d3d,1f8d552cfc619e8f
4,3,node_0004,1767,1,-15,-1767.000295874298,feasible,,,295.87429830798646,,,"[""_raw""]",candidates/node_0004.py,26c858af4fbbc72a,2f84e1d8a8484d3d
5,3,node_0005,1766,0,-16,-1766.0002900002896,feasible,,,290.0002906359732,,,"[""_raw""]",candidates/node_0005.py,409634a8d074e76a,2f84e1d8a8484d3d
6,3,node_0006,1793,27,11,-1793.0002833903468,feasible,,,283.39034736400936,,,"[""_raw""]",candidates/node_0006.py,1634ec5a8bf3d3cb,2f84e1d8a8484d3d
7,3,node_0007,1832,66,50,-1832.000270964957,feasible,,,270.964957454009,,,"[""_raw""]",candidates/node_0007.py,68836a71f1789810,2f84e1d8a8484d3d
8,3,node_0008,1778,12,-4,-1778.000270951076,feasible,,,270.95107707800344,,,"[""_raw""]",candidates/node_0008.py,205344268edbfdd9,2f84e1d8a8484d3d
9,5,node_0009,1778,12,-4,-1778.0002924817188,feasible,,,292.48172051197616,,,"[""_raw""]",candidates/node_0009.py,179ef09750931f2a,409634a8d074e76a
10,3,node_0010,1780,14,-2,-1780.0002741437977,feasible,,,274.14379913697485,,,"[""_raw""]",candidates/node_0010.py,ff83fb6bcf942cf2,2f84e1d8a8484d3d
11,3,node_0011,1806,40,24,-1806.000272706494,feasible,,,272.7064944669837,,,"[""_raw""]",candidates/node_0011.py,72f061d72f52aa4a,2f84e1d8a8484d3d
12,3,node_0012,1766,0,-16,-1766.0002866523462,feasible,,,286.65234671602957,,,"[""_raw""]",candidates/node_0012.py,9163bc2353ae4dba,2f84e1d8a8484d3d
13,12,node_0013,1768,2,-14,-1768.0002863447555,feasible,,,286.3447564460221,,,"[""_raw""]",candidates/node_0013.py,d22330f31a9ddc15,9163bc2353ae4dba
14,12,node_0014,1767,1,-15,-1767.0002931137694,feasible,,,293.11376989795826,,,"[""_raw""]",candidates/node_0014.py,775236f3ce673673,9163bc2353ae4dba
15,3,node_0015,1770,4,-12,-1770.0002860412458,feasible,,,286.04124642099487,,,"[""_raw""]",candidates/node_0015.py,62e84faa568de62b,2f84e1d8a8484d3d
16,3,node_0016,1783,17,1,-1783.00028579408,feasible,,,285.7940803890233,,,"[""_raw""]",candidates/node_0016.py,04825fb1176f136d,2f84e1d8a8484d3d
17,12,node_0017,1766,0,-16,-1766.0002866939358,feasible,,,286.6939364760183,,,"[""_raw""]",candidates/node_0017.py,3fe6eeb8d1371874,9163bc2353ae4dba
18,17,node_0018,1766,0,-16,-1766.0002848578704,feasible,,,284.8578708950081,,,"[""_raw""]",candidates/node_0018.py,f2c911a1d5eb1bbc,3fe6eeb8d1371874
19,18,node_0019,1773,7,-9,-1773.000292426203,feasible,,,292.42620360298315,,,"[""_raw""]",candidates/node_0019.py,c30edb2351e6d15d,f2c911a1d5eb1bbc
20,18,node_0020,1785,19,3,-1785.0002825362135,feasible,,,282.5362139440258,,,"[""_raw""]",candidates/node_0020.py,534a77dcc223ce63,f2c911a1d5eb1bbc
